Produktnummer;Lieferantenproduktnummer;Produktname;Lieferantennummer;Standardlieferant;EK (netto);Mindestabnahme;Abnahmeintervall
103759;1182004700-wechsel tk wenn Lieferbar;Knotenblech, Seitenklappe oben, T3 Doka und Pritsche, OE Ref. 245809269A;70013;yes;8.93;;1
103395;1184100700-palette;Stoßstange vorne, Metall, Schwarz, Golf 1, OE Ref. 171807111G;70013;yes;65.15;2;1
102891;1114510600;Kühlwasserrohr bzw. Kühlwasserflansch T3 1,9L und 2,1L, OE Ref. 025121171;70013;yes;8.66;2;1
SW10866;8170501283;Zug für Heizklappenkasten, rechts, 2,0L T3 bis Bj. 12/82 OE Ref. 251711630;70013;yes;15.12;;1
SW12178;1188600800;Rollenführung für Schiebetür unten rechts, T4 Bus, OE Ref. 701843406B;70013;yes;12.83;;1
SW10685;1115303500;Schlauch für Ansauganlage passend für T3 2,1L Einspritzer OE Ref. N90305201;70013;yes;1.63;;1
103420;1191400100;Hallgeber inkl. Montagematerial, Golf &Co, Polo, 1.0 - 1,3L, OE Ref. 030998065;70013;yes;11.44;2;1
100795;1114312400;Kühlwasserschlauch von Thermostat nach Verteilerstück  T3 2,1 L ab Bj. 08/86 OE ref. 025121058B;70013;yes;1.47;1;1
SW11081;1180250300;Heckklappe Außenhaut, T3, Bj. 08/83-07/87, OE Ref. 251829105K;70013;yes;237.38;;1
SW12385;1161911480;Bremssattel, Faustsattel, vorne RECHTS mit Halter, T3 ab Bj.08/85, OE Ref. 251615124C;70013;yes;78.54;2;1
SW10756;8120400100;Abgaskrümmer passend für T3 1,6L MKB CZ/CT Bj. 06/80-12/82 OE Ref. 070251108A;70013;yes;84.21;;1
100306;1131601500;Schaltstange 4 Gang ab 1,6L Hubraum Golf 2 &CO OE Ref. 191711595;70013;yes;0.32;10;10
103140;1131000200;Kupplungsschlauch, hinten, Länge 615 mm, T3, OE Ref. 251721477J;70013;yes;14.39;2;1
SW11346;1188050600;Unterlage in Braun, Haltegriff unten, Einstieg Beifahrertür, T3, OE Ref. 251857616 90V;70013;yes;3.05;2;1
SW12410;1163950600;Gleitbacken Satz (12 Stück) für Ankerblech, Bremsträgerblech, Golf &Co, ab BJ82, OE Ref. 6N0609589;70013;no;0.20;12;12
100335;1143600312;Achsmanschette Außen, inkl. Montagematerial, Golf & Co, Polo, Passat OE Ref. 171498203;70013;no;5.41;;1
103414;1161954310;Führungshülsensatz, Bremssattel, Golf und Passat, 256mm Bremse, OE Ref. 8E0698470B;70013;no;3.31;;5
100486;1142601400;Anschlagpuffer für Stoßdämpfer vorne, Polo und Passat OE Ref. 893412131B;70013;yes;0.87;1;1
100858;8115850200;O-Ring  Dichtung für Tankgeber Golf 1 &Co und T3 OE ref.113919131A;70013;yes;1.60;;10
SW10696;1120402900;Vorderes Abgasrohr, Edelstahl, T3 2,1L, MKB DJ/MV/SR/SS Ref. 025251171AD;70013;yes;161.37;;1
SW11442;1195700200;Leuchte für Handschuhfach, Golf &Co und T3 OE Ref. 171947311;70013;yes;22.58;;1
SW10446;1114000200;Antriebsrad für Zwischenwelle Golf &CO T3 Diesel und Turbodiesel OE Ref. 068115021A;70013;yes;11.46;;1
102617;1181700170;Aufnahme für Querlenker, hinten links außen, T3, OE Ref. 251803197;70013;no;29.19;1;1
100383;1114309900;Kühlwasserschlauch von Kühlwasserflansch nach Ölkühler und Wasserpumpe Diesel OE Ref. 068121053P;70013;no;4.27;1;1
100167;1131700410;Reparatursatz Lagerung Schaltgestänge im Motorraum Golf 1 &Co OE Ref. 171798211;70013;yes;1.07;60;10
SW10780;1131606000-palette;Schaltstange vorne, T3 2WD mit 4 Gang Getriebe, OE Ref.  251711271D;70013;yes;78.05;;1
100108;1196800100;Schalter Innenraum-Gebläse Golf & Co ,Polo, Passat, T3 OE Ref. 171959511;70013;no;1.84;;1
101989;1188100370;Fensterheber, vorne links, Golf 1 & Co, OE Ref. 171837401B;70013;yes;11.03;2;1
100544;1131500700;Schaltstangenlager für Schaltwelle am Unterboden hinten Golf 2 &Co OE Ref. 191711190A;70013;yes;1.99;;10
SW12377;1121609680;Halteblech, Halter für Auspuff Endtopf Rechts, T3 Diesel, OE Ref. 033251375;70013;yes;14.18;2;1
SW10736;1130701000;Ausrückwelle, Ausrückhebel, Kupplung, T3 Bus, OE Ref. 091141701;70013;no;7.04;;1
SW11809;1101501200;Warnaufkleber für Kühlergebläse, Golf &Co Passat, T3 und T4 OE Ref. 191010029M;70013;yes;1.19;;5
102898;1180350970;Reparaturblech Radlauf, Kniestück, Einstieg vorne links, T3, Top Qualität OE Ref. 251809243B;70013;yes;67.50;5;1
102856;8119900306;T-Stück für Unterdrucksystem am Saugstutzen T3 MKB CU OE Ref. 071129755A;70013;no;8.35;1;1
100668;1196600300;Schalter Rückwärtsgang M18x1,5 mm, 4 Gang ab Bj. 08/89, Golf 2 & Co, Polo, OE Ref. 084945415;70013;yes;1.71;;1
SW11320;1196650100;Schaltergehäuse, Rückwärtsgang, Golf 2 G60, OE Ref. 02A945523H;70013;yes;1.42;;1
100200;JP 1198200200;Wischermotor, Scheibenwischermotor vorne Golf 2 & Co, Polo, Passat, T3 OE Ref. 191955113A 251955119;70013;no;15.38;;1
SW10823;1198100100;Scheibenwischer-Gestänge, Golf 2 &Co ab Bj. 02/89 OE Ref. 191955023L;70013;yes;20.99;;1
102485;1164201280;Staubschutz und Hitzeblech für Bremsanlage Vorne Rechts Polo Bj. 75-94 OE Ref. 867615312B;70013;yes;5.62;2;1
100739;1186150100;Fensterführung, Kurbelscheibe Oben, ohne Nut für Zierleiste, T3, OE Ref. 281837709;70013;no;21.68;;1
SW12119;1114302800;Kühlwasserschlauch von Ölkühler nach Zylinderblock, T4 Bus 2,4-2,5L  OE Ref. 074121096D;70013;yes;1.32;;1
100733;1186150200;Fensterführung, im Steg für Kurbelscheibe, Golf 1 &Co, OE Ref. 171837433A;70013;no;3.26;;1
103505;1181950470;Reparaturblech Radhaus, vorne Links, Sicherheitsgurt Aufnahme, T3 Bus, OE Ref. 251801201;70013;no;27.14;1;1
SW10243;1144716200;Manschette für Kreuzgelenk, Golf 1 &Co ohne Servolenkung, OE Ref. 171419523;70013;no;16.50;;1
101667;1115600400;Kraftstofftank, 40L, Golf 1 & Co bis Bj. 07/1983 mit Vergaser, OE Ref. 171201075P;70013;no;97.39;;1
101695;1140603300;Lager für Stabilisator Außen 21 mm T3 Bj. bis Bj. 07/86 OE Ref. 251411045;70013;yes;0.66;;10
101032;1164200670;Hitzeblech für Bremse vorne Links T3 Syncro OE Ref. 251407343D;70013;yes;8.20;2;1
100145;1114500600;Kühlwasserflansch inkl. Dichtung, Golf & Co ab 1,5 L, 2H, T3 Diesel, OE Ref. 026121144A 026121144E;70013;yes;0.50;1;10
SW11895;1128006700;Faltenbalg, Saugkrümmer am Heizgebläse, T3 LBX, OE Ref. 070256099;70013;yes;34.54;;1
SW10447;8113600700;Öl-Einfüllrohr, T3 Benziner ab BJ 08/1982, OE Ref. 025115302;70013;yes;0.00;;1
103218;1114508700;Deckel, Rohrstutzen für Thermostatgehäuse T3 1,9-2,1L ab Bj. 08/85 OE Ref. 025121114;70013;no;7.09;;1
100645;1118702700;Kraftstofffilter für Diesel, Golf &Co, T4, OE Ref. 191127401E;70013;yes;4.31;2;1
SW10844;8115201100;Benzinpumpe für T3, 2,0L luftgekühlt, OE Ref. 021127025B;70013;no;30.71;;1
SW12149;1198305670;Wischerarm, Scheibenwischer vorne Links ,Fahrerseite, T4 Bus OE Ref. 701955409A;70013;yes;17.85;2;1
SW10659;1140611600;Lager für Stabilisator vorne außen 23 mm T3 OE Ref. 251411045A;70013;yes;1.16;;5
103408;1182005500-wechsel tk wenn Lieferbar;Reparaturblech, Seitenfenster Rahmen mitte, links oder rechts, OE Ref. 253809159;70013;no;25.10;1;1
103231;1199903100;Rückstellring mit Schleifring, 165 mm, Golf 1, T3 und T4, OE Ref. 321419661A;70013;no;4.31;1;1
102264;1195903800;Leuchtdiode, Rot, für Tachoeinheit Golf & Co, Passat, T3, OE Ref. 171919061B;70013;yes;5.06;;1
103340;1140403670;Stabilisatorstütze, Koppelstange für Stabilisator links, T3 Syncro ab Bj. 11/88, OE Ref. 251411049J;70013;yes;27.35;1;1
SW11003;1132350600;Faltenbalg für Schaltstange am Getriebe T3 bis 07/82 OE Ref. 091301261;70013;no;1.77;2;1
100681;1114400200;Wasserrohr, Golf 2 & Co ab 1,6L Hubraum, OE Ref. 027121065C;70013;yes;6.81;;1
SW12241;1184504700;Kühlergrill unten, T3, Top Qualität, OE Ref. 25185366;70013;yes;50.93;;1
101036;8189810200;Türfangband, für Fahrer- oder Beifahrertür, T3,  OE Ref. 251837249;70013;yes;22.21;1;1
102482;1164300970;Bremsträgerblech hinten links Golf 1, Polo, Scirocco bis Bj. 04/1982 OE Ref. 171609425A;70013;yes;23.05;1;1
SW11146;1120401200;Hinteres Abgasrohr, T3 Syncro 1,9L & 2,1L  ab Bj. 10/85 OE Ref. 025251172P;70013;yes;87.62;;1
100606;1185900300;Dichtung für Windschutzscheibe T3 OE Ref. 251845121;70013;no;19.25;;1
SW12437;1142602400;Zusatzfeder, Anschlagpuffer 60mm für Stossdämpfer Vorderachse, T3, OE Ref. 251411123BS;70013;yes;18.85;;1
100832;1150103700;Lager Gummilager für Aufhängung der Hinterachse Golf 1 &Co  OE. Ref. 171501541A;70013;yes;4.29;40;1
101126;1187400980;Türscharnier Schiebetür rechts T3 ab Bj. 08/1984 OE Ref. 251843336B;70013;yes;40.11;1;1
SW12123;1114315100;Kühlwasserschlauch von Flansch zu Kühler, T4 Bus 2,4-2,5L mit Klima bis Bj. 12/95 OE Ref. 074121101L;70013;yes;4.34;;1
100836;1184300880;Stoßstangenecke für Chromstoßstange, VR bzw. HL, Golf 1 &Co, OE Ref. 171807144;70013;yes;8.61;;1
100478;1189150300;Dichtung für innenverstellbaren Spiegel, Golf 1 & Co, OE Ref. 171857543B;70013;yes;2.72;;1
103588;1196603600;Schalter für Rückfahrlicht T3 ab Bj. 08/88 mit 4 und 5 Gang Getriebe, OE Ref. 085941521;70013;yes;2.05;2;1
101662;1198151980;Wischerwelle rechts mit Lager T3 OE Ref. 251955216;70013;yes;22.00;2;1
100523;8196650100;Schutzkappe für hydraulischen Bremslichtschalter,2 polig OE Ref. 111945521;70013;no;1.14;10;1
SW10331;1161800400;Bremskraftverstärker 9 Zoll, T3 Diesel und Benziner, OE Ref. 281612105;70013;no;78.75;2;1
102433;1114402110;Satz Kühlwasserrohre, Vor- und Rücklauf aus Edelstahl, VW T3 Syncro 1,9l-2,1, OE Ref. 251198399L;70013;no;162.53;1;1
101906;1142700600;Schutzrohr für Stoßdämpfer vorne OE Ref. 357412135;70013;no;0.42;;1
SW10720;1120402800;Hinteres Abgasrohr, Edelstahl, für 1,9L & 2,1L T3 ab Bj. 10/85 OE Ref. 025251172R;70013;yes;173.03;;1
102453;1160450100;Abdeckkappe für Radschraube in satinschwarz, Golf &Co, Passat, OE Ref. 321601173A 01C;70013;yes;0.41;;1
103117;1120602000-palette;Schalldämpfer, T3 1,7L KY Diesel ab Mj 89 ,OE. Ref. 033251051D;70013;yes;88.73;2;1
103228;1110453500;Schwungrad für Kurbelwelle, T3 1,9-2,1L Benziner ab Bj. 08/82, OE Ref. 025105271;70013;yes;83.16;1;1
102548;1114550300;Blindstopfen für Kunststoff-Kühlwasserflansch, Golf & Co, T3, OE Ref. 357121140;70013;no;0.11;10;1
100898;1189800700;Sitz-Führungsstück, Golf &Co, OE Ref.171881213B;70013;no;0.24;10;10
102858;1117900400;Halter für Motorlager vorne Golf 2 &Co ab 1,6L Hubraum OE Ref. 191199273C;70013;no;5.23;2;1
SW10814;1191101000;Zündverteiler, komplett, T3 1,9L MKB DF ab Bj.08/83, OE Ref. 025905205AD;70013;yes;34.16;;1
100393;1114302900;Kühlwasserschlauch von Wasserrohr nach Wasserpumpe Passat OE Ref. 026121063M;70013;yes;1.38;1;1
101348;1164200901;Staubschutz und Hitzeblech für Bremsanlage vorne, OE Qualität, Golf 1 & Co, OE Ref. 171615311;70013;yes;6.67;1;1
SW12102;1196301300;Warnblinker Schalter, T4 Bus ab Bj. 01/96 OE Ref. 7D0953235;70013;yes;7.81;;1
SW10287;1115604700-palette;Tank für Caddy 14D, Diesel, OE Ref. 170201075J;70013;yes;140.75;2;1
SW10200;1161956700;Bremsträger, Halter für GIRLING Bremssattel links/rechts, T3 ab 10/84 OE Ref. 251615125C;70013;yes;26.84;;1
101218;1196204600;Lenkstockhebel für Scheibenwischer T3 OE Ref. 251953519C;70013;yes;7.09;2;1
100429;1115300400;Vergaserflansch für Golf und Polo mit 1.0L, ab Bj. 08/1985, OE Ref. 030129765C;70013;yes;9.50;2;1
SW11401;1143300110;Gleichlaufgelenk für Antriebswelle, vorne, radseitig,T3 Syncro 14Zoll, OE Ref. 251498099A;70013;yes;26.09;;1
101247;1187452200;Anschlagpuffer für Schiebetüre oben T3 OE Ref. 251843314;70013;yes;2.82;;1
SW12789;1182500280;Reparaturblech, C-Säule rechts, hinten unten vor Radlauf, T3, OE Ref. 251809398A;70013;yes;15.65;;1
SW10371;1182005380;Laderaumklappe rechts 1132MM T3 Pritsche OE Ref. 245829060A;70013;yes;262.40;;1
103576;1180600480;Reparaturblech Ecke, hinten rechts, T3 Syncro, OE Ref. 251813368C;70013;yes;219.45;;1
102987;1188100680;Fensterheber elektrisch, inkl. Motor, vorne rechts, Golf 2 & Co ab Bj. 08/87, OE Ref. 191837462;70013;yes;22.31;2;1
100384;1114302500;Kühlwasserschlauch von Verbindungsrohr nach Vergaser OE Ref. 026121056G;70013;yes;1.37;2;1
SW10708;1120608900;Endschalldämpfer, Edelstahl, T3 2,1L mit MKB SR/SS/MV OE Ref. 025251053G;70013;yes;342.27;;1
SW11454;8111351500;Einstellschraube M8x1,0 für Ventilspiel-Einstellung, T3 1,6L LBX, OE Ref. 043109451;70013;yes;1.37;;1
102308;1141300710;Radlagersatz Vorderachse Rechts oder Links T3 ab Bj. 08/83 OE Ref. 251498625A;70013;yes;8.35;1;1
SW10468;1161201500;Ausgleichsbehälter für Bremsflüssigkeit, komplett mit Deckel T3 OE Ref. 251611301S;70013;no;38.12;;1
100896;1189807100;Halter für Sonnenblende in Schwarz, T3 OE Ref. 251857561A;70013;no;1.87;;1
100568;1131500400;Lagerbuchse für Schaltstange am Unterboden mittig T3 OE Ref. 251711207D;70013;yes;1.68;10;1
101276;1161551300;Halter für Bremsleitung, doppelte Ausführung, Golf & Co, T3, OE Ref. 321611853;70013;yes;0.68;;25
102913;1161900180;Bremssattel, Festsattel Vorne Rechts T3 Bj. 05/79-05/86 OE Ref. 251615108;70013;yes;51.40;2;1
101224;1187751800;Dichtung für Heckklappenschloß T3 ab Bj. 08/1984  OE Ref. 251829233;70013;no;2.26;;1
100685;1180500200;Windlaufblech zwischen Frontscheibenrahmen und Kühlergrillausschnitt T3 OE Ref. 251805035;70013;yes;87.89;1;1
SW12034;1131500300;Lagerbuchse für Schaltgestänge, Golf 1 &Co und T4 OE Ref. 171711181;70013;yes;0.15;;10
103777;1131000300;Kupplungsschlauch, Länge 1035mm, T3, OE Ref. 251721478J;70013;yes;9.66;2;1
SW10584;1140153100;Bolzen für Querlenker vorne, unten und Achslenker hinten, M12x1,5x105 OE Ref. N0101675;70013;yes;2.73;;4
103500;1188103180;Fensterheber, vorne, rechts T3 OE Ref. 251837502A;70013;no;16.80;1;1
SW11347;1188150700;Hebeschiene für Fensterheber, T3 OE Ref. 281837571;70013;no;9.40;;1
SW10944;1145600600;Lenkzwischenwelle für Servolenkung T3 OE Ref. 251422753;70013;yes;101.81;;1
SW10374;1115656280;Ausgleichsbehälter, Kraftstofftank rechts, T3, OE Ref. 251201304C;70013;yes;26.13;;1
SW12202;8131700608;Führungsbuchse, Schaltwelle in Getriebe, 4-Gang, Golf &Co bis 1,3L, T3 , OE Ref. 001301207;70013;yes;2.78;2;1
102319;8142700100;Schutzrohr für Stossdämpfer Vorderache Rechts oder Links T3 OE Ref. 113412305;70013;yes;2.19;2;1
100651;1133000300;Passschraube für Umlenkhebel der Schaltstange Golf 2 & Co OE Ref. 191711199;70013;yes;0.56;;10
SW11135;1120400400;Hinteres Abgasrohr, T3 1,9L mit MKB DH bis Bj 07/85 OE Ref. 025251172G;70013;yes;66.39;;1
101463;1186550300;Clip für Zierleiste, ab Baujahr 08/1981, Golf 1 & Co, OE Ref. 155853585;70013;no;0.14;;100
SW12413;1117601600;Ölrohr Vorlauf für Abgasturbulader T4 Bus 1,9L TD ab Bj. 96 OE Ref. 028145771AC;70013;yes;23.35;;1
103178;9521842;Längsträger, Achsaufnahme, hinten rechts, Golf 2 &Co;70045;yes;15.00;1;1
101767;9520904;Stoßstange vorne, schwarz, Golf 1 &Co, ab BJ 08/78, OE Ref. 171807103;70045;yes;52.90;6;1
102664;9520680;Heckblech, Reparaturstück unten, Golf 1, OE Ref. 171813303;70045;yes;16.70;1;1
101059;95210274;Zusatzscheinwerfer, Fernlicht rechts, Golf 2, OE Ref. 191941106;70045;yes;6.40;1;1
100419;9520855;Federteller, hinten oben, für Golf 1 &Co, OE Ref. 823512103B;70045;yes;10.60;30;1
103185;9536583;Reparaturblech, Radlauf, hinten links, Passat 32B, 4-Türer, OE Ref. 323809833;70045;yes;14.41;1;1
101019;9557322;Reparaturblech Einstieg bzw. Trittstufe vorn rechts T3 OE Ref. 251809512;70045;yes;22.80;1;1
103059;9520753;Bodenblech komplett, links Golf 1 &Co OE Ref. 171803207;70045;yes;59.10;;1
102656;9520841;Reparaturblech, linke hintere Achsbefestigung, Golf 1;70045;yes;24.30;1;1
103561;9557597;Reparaturblech für Seitenwand hinten Links T3 OE Ref. 253809171;70045;yes;10.30;1;1
101667;9520009;Kraftstofftank, 40L, Golf 1 & Co bis Bj. 07/1983 mit Vergaser, OE Ref. 171201075P;70045;yes;82.45;1;1
SW10650;3558-991-6;Flachsteckhülsen 6,3mm mit Raste Messing blank, für Kabel  0,5 - 1,0mm;70008;no;0.22;;1
103413;3558-904-220;Flachsteckhülse, 4,8x0,8 für Gehäuse 103011;70008;no;0.26;;1
SW10648;3558-990-1;Rundsteckhülse 3,5mm Messing verzinnt, Kabel 0,5 - 2,5mm²;70008;yes;0.71;;50
100113;5501-424-90;Clip für Türverkleidung Golf &Co, Polo, Passat, T3, T4, OE Ref. 171867299B, 823867299;70008;no;0.42;500;25
103023;3558-992-8;Flachstecker /  Hülse 6,3 x 0,8 mm für 1.5-2.5 mm Kabel;70008;no;0.22;50;1
SW10649;3558-996-4;Rundsteckhülsen 1,5mm Messing verzinnt, , 0,5 - 1,0mm²;70008;no;0.71;;50
102135;5500-110-111;Spreizniete für Abdeckung Überrollbügel Golf 1 Cabrio 5X7,5 mm OE Ref. N0385051;70008;yes;0.33;;25
102962;2897-333-500;Bremsenreiniger 500ml, Schnellreiniger für Brems- und Kupplungsteile;70008;no;1.99;;30
100114;5501-701-00;Clip für Verdeckschiene Golf 1 Cabrio OE Ref. 155871425;70008;no;0.34;100;25
101378;5501-432-70;Blindniete Alu/Stahl schwarz, 4,0x14mm, Golf &Co, T4, OE Ref. N90634901;70008;no;0.32;100;25
101515;6129-65-20;Blechschraube 6,5X19 mm OE Ref. N0159461;70008;no;0.33;;100
100505;FEB-07550;Einstellscheibe für das Ventilspiel 3,55 mm Stark ab 1,5l Hubraum OE Ref.056109566;70014;no;1.74;;1
SW10484;463.833;Dichtung für Stösselschutzrohr, groß, T3 2,0 Liter Benziner luftgekühlt, OE Ref. 021109349B;70014;yes;1.35;;1
103710;24.3516-0010.1;Überwurfschraube Bremsleitung 4,75mm F-Bördel SW11 Länge16 mm Gewinde M10 x 1;70014;no;0.17;;10
101977;FEB-01554;Mutter M10x1,5 selbstsichernd mit Güte 12, OE Ref. N10209005;70014;no;0.35;100;100
SW12631;8JD 743 557-021;Sicherungshalter, mit Aufnahme für Flachsteck-Sicherung bis 20A;70014;no;3.02;;1
100894;83 11 1900;Auspuffgummi, Endschalldämpfer Golf 1 Cabrio & Scirocco ab Bj. 84, OE Ref. 1H0253147B;70014;no;1.94;;1
SW10647;143 8688;Flachsteckzungen  6,3mm mit Raste Messing blank, 1,5 - 2,5mm;70014;yes;0.09;;100
100124;927 0738;Blechmutter, Federmutter 6,3 mm u.a für Kotflügelverschraubung Golf & Co, Polo, Passat;70014;yes;0.22;;100
SW10575;LX 218;Luftfilter, Golf 2 &Co bis 8/89, OE. Ref. 055129620;70014;no;7.60;;1
SW10350;420 4312;Dichtring, Kupfer, 10x16x1mm, z.B. Öldruckschalter;70014;yes;0.08;;100
SW12619;9MJ 008 039-031;Schrumpfschlauch, zur Isolation von Kabeln, 300X9 mm;70014;no;2.64;;1
SW12612;8KL 717 461-001;Fahrzeugleitung, FLY - Kabel, einadrig 1,5mm Grau-Schwarz;70014;no;0.45;;10
102826;291 3718;Ölschlauch, druckfest, 6x12mm;70014;yes;3.33;;1
102479;328 7088;Bremsschlauch vorn Golf 1, Scirocco bis Bj. 07/1978 OE Ref. 433611707;70014;no;14.15;1;1
101980;83 11 8904;Auspuffschelle 48,5 mm OE Ref. 871253143;70014;no;1.68;;1
103459;330 1995;Stoßstange, breit, hinten, Golf 2 & Co, OE Ref. 191807301AC;70014;no;67.86;1;1
SW10606;50296116066;Flachsteck Sicherung Set 10-teilig von 3A bis 30A;70014;no;1.96;2;1
SW12734;142 0150;Leitungsverbinder, Quetschverbindung unisoliert, 1.5-2.5mm Kabel;70014;yes;0.18;;100
102601;291 3444;UEBERWURFMUTTER 16X1,5;70014;no;;;1
103155;3201061;Dichtung, Stößelrohr, Kopfseite, 19,8 mm, T3 Boxer, OE-Ref. 113109345A;70014;yes;1.07;1;1
101892;291 3009- wechsel cohline;Unterdruck Schlauchleitung / Rohr 4x1, OE Ref. N0201391;70014;no;1.05;20;20
102694;FEB-07723;Polyamidrohr, 8x1,0 mm, pro Meter;70014;yes;2.10;;1
100308;83 11 2088;Dichtring Abgasanlage Cabrio und T3, OE Ref. 431253137A;70014;no;1.66;2;1
100353;2122.0400;Kraftstoffschlauch 5,5X2,5 mm Preis pro Meter, OE Ref. N90099603;70014;no;1.54;;20
SW12605;8KL 712 945-002;Fahrzeugleitung, FLY - Kabel, einadrig 1,5mm Gelb;70014;yes;0.48;;100
101376;83 11 2094;Auspuffgummi, Halter für die Abgasanlage Golf &Co, T4, OE Ref. 191253147;70014;no;1.05;;1
101281;056121139C;Dichtung für Alu Wasserflansch vorne am Zylinderkopf, Golf 1 &Co, Benziner bis 83, OE Ref. 056121139;70014;no;1.30;50;1
SW12723;141 0314;Fahrzeugleitung, FLY - Kabel, einadrig 2.5mm Rot;70014;no;0.69;10;1
102166;290 4506;Schlauch für Scheibenwaschanlage, Meterware, 4x1mm, Golf &Co, Polo, Passat, T3, OE Ref. N0203011;70014;no;0.36;;100
100594;FEB-03687;Kupfermutter selbstsichernd SW12 OE Ref. N90085001;70014;no;0.50;;10
100604;329 6251wechsel zu vewib wenn lieferbar;Dichtung für Windschutzscheibe ohne Nut für Keder Golf 2 &Co OE Ref. 191845121;70014;no;15.52;;1
SW10991;359 7644;LUK Kupplungskit Passat 32b, 210 mm, 1,6 Diesel und 1,8 Liter Benziner;70014;no;140.00;;1
100954;2912158;Bremsleitung aus verkupfertem Stahlrohr 80cm;70014;no;3.01;1;1
103023;143 5337;Flachstecker /  Hülse 6,3 x 0,8 mm für 1.5-2.5 mm Kabel;70014;yes;0.09;100;1
101308;496506;Dichtung für Endrohr, T3 Turbodiesel, T4 Bus zw. Hosenrohr und Kat, OE Ref. 068251235A;70014;no;3.93;;1
SW12625;51270080;Schutzschlauch, 8mm Durchmesser, Isolierschlauch für Leitungen und Kabel, Farbe Schwarz;70014;yes;0.54;;10
SW12628;51270160;Schutzschlauch, 16mm Durchmesser, Isolierschlauch für Leitungen und Kabel, Farbe Schwarz;70014;yes;0.88;;10
100886;0 242 235 663;Zündkerze, Bosch WR7DC, OE Ref. 191905450A;70014;no;1.80;;1
SW12616;9MJ 008 039-001;Schrumpfschlauch, zur Isolation von Kabeln, 300X3 mm;70014;no;1.54;;1
SW11275;282-205;Endschalldämpfer für Golf 1, Scirocco und Cabrio 1,1 bis 1,6L,  OE Ref. 171253609C;70014;no;66.88;;1
101979;83 11 8921;Auspuffschelle 59,5 mm, OE Ref. 1H0253139D;70014;no;2.20;;1
SW10971;138 1591;Batterie, Knopfzelle 1,5 Volt für G60 Schlüssel;70014;yes;1.29;;1
101515;927 0525;Blechschraube 6,5X19 mm OE Ref. N0159461;70014;yes;0.23;100;100
SW12609;8KL 712 949-001;Fahrzeugleitung, FLRY - Kabel, einadrig 1,5mm Blau;70014;no;0.45;;10
100618;83 11 1222;Dichtung Auspuff, Abgaskrümmer, ab 1,5L Hubraum, OE Ref. 056129589, 028129589B;70014;no;0.74;;1
101307;116497;Endrohr für Schalldämpfer T3 MKB JX (TD), OE Ref. 068251185B;70014;no;22.30;;1
SW12743;143 9838;Ringkabelschuh, für Kabel, 16 - 25mm, Lötfrei, Quetschverbindung, M6;70014;no;1.03;;25
101901;479 4309;Kraftstoffschlauch NW10/12X19,0mm OE Ref. N0202903;70014;no;4.50;;1
SW10801;206 5751;Lack, schwarz matt, 400 ml Spraydose;70014;no;4.50;;1
100581;319 7116;Kennzeichenleuchte für Golf 2 &Co OE Ref. 191943021;70014;no;6.49;1;1
100613;OC47;Ölfilter für Benziner Golf &Co, Polo und Passat, T4, OE Ref. 056115561G;70014;no;4.05;1;1
101373;324 2724;Anschlagpuffer für Endschalldämpfer, Golf &Co, OE Ref. 431253149A;70014;no;0.85;10;10
SW10406;300418;Faltenbalgsatz für Antriebswelle, vorne, radseitig,T3 Syncro ohne Sperre, OE Ref. 251498203F;70014;no;9.90;;1
101845;338 0882;GTI Frontspoiler, rechts, für breite GL Stoßstange, Golf 2 &Co, OE Ref. 191805904C;70014;no;20.77;1;1
100319;2KA 002 445-111;Kennzeichen-Leuchte, Original HELLA, Golf 1 &Co, OE Ref. 171943021B;70014;no;8.88;;1
102959;8544803;Frostschutz, Scheibenreinigungsanlage, Konzentrat 1 Liter mit Citrus-Duft und Aktiv-Reiniger;70014;yes;2.23;1;1
101240;458422;Dirko HT Dichtmasse für Motor Getriebe und Anbauteile Tube mit 20ml Inhalt;70014;no;4.09;;1
100916;1987302210;Leuchtmittel 12V 10W SV 8,5-8 für Innenraumleuchte;70014;no;0.56;10;1
102663;242235664;Zündkerze Bosch WR7LTC+ mit Dreimassenelektrode, OE. Ref. N01781139;70014;no;4.78;;1
100595;2908162;1-Ohr-Schelle-Klemme, Klemmschelle, Spannbereich 9,5-11mm;70014;no;0.41;20;1
SW12726;141 0479;Fahrzeugleitung, FLY - Kabel, einadrig 4mm Rot;70014;no;1.22;;1
102598;140 1269-evtl wechsel zu Cohline ?;Kraftstoffschlauch 7,5x13,5;70014;no;;;1
103627;3011.01.0608;POLYAMID-ROHR mit Umflechtung aus Edelstahldraht D1 6mm D2 9mm;70014;no;4.50;;1
100679;492 8424;Leuchtmittel, Glühlampe, 2 Watt, für Instrumenten-Beleuchtung, OE Ref. 431919040A;70014;no;0.79;;1
101899;290 8169;Schlauchklemmschelle  1 Ohr Klemmbereich 18-21mm;70014;yes;0.32;20;1
101784;22-239594;Federbein inkl. Stoßdämpfer von BILSTEIN Golf 1 &Co vorne OE Ref. 171412031J;70014;no;103.00;;1
SW12460;12396NAB2;Leuchtmittel für Seitenblinker, Golf & Co, OE Ref. N0177532;70014;no;2.68;;1
100747;328 5602 (ATE);Staubkappe für Entlüftungsventil, Bremssattel bzw. Radbremszylinder, OE Ref. 211611483;70014;no;1.36;;1
